"year","title","venue","authors"
"0","The WASA2 object-oriented workflow management system","International Conference on Management of Data","Gottfried Vossen, Mathias Weske"
"0","A user-centered interface for querying distributed multimedia databases","International Conference on Management of Data","Isabel F. Cruz, Kimberly M. James"
"0","World Wide Database-integrating the Web, CORBA and databases","International Conference on Management of Data","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani"
"0","XML-based information mediation with MIX","International Conference on Management of Data","Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu"
"0","The CCUBE constraint object-oriented database system","International Conference on Management of Data","Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo"
"0","The Cornell Jaguar project: adding mobility to PREDATOR","International Conference on Management of Data","Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu"
"0","The active MultiSync controller of the cubetree storage organization","International Conference on Management of Data","Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis"
"0","The Jungle database search engine","International Conference on Management of Data","Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson"
"0","ADEPT: an agent-based approach to business process management","ACM SIGMOD Record","N. R. Jennings, T. J. Norman, P. Faratin"
"0","A componentized architecture for dynamic electronic markets","ACM SIGMOD Record","Benny Reich, Israel Ben-Shaul"
"0","Design and implementation of RMP: a virtual electronic market place","ACM SIGMOD Record","Susanne Boll, Wolfgang Klas, Bernard Battaglin"
"0","Discovering Internet marketing intelligence through online analytical web usage mining","ACM SIGMOD Record","Alex G. B&#252;chner, Maurice D. Mulvenna"
"0","Component-based e-commerce: assessment of current practices and future directions","ACM SIGMOD Record","Martin Bichler, Arie Segev, J. Leon Zhao"
"0","Building database-driven electronic catalogs","ACM SIGMOD Record","Sherif Danish"
"0","XML and electronic commerce: enabling the network economy","ACM SIGMOD Record","Bart Meltzer, Robert Glushko"
"0","A workflow-based electronic marketplace on the Web","ACM SIGMOD Record","Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer"
"0","DBIS-toolkit: adaptable middleware for large scale data delivery","International Conference on Management of Data","Mehmet Altinel, Demet Aksoy, Thomas Baby, Michael Franklin, William Shapiro, Stan Zdonik"
"0","An XJML-based wrapper generator for Web information extraction","International Conference on Management of Data","Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang"
"0","Database patchwork on the Internet","International Conference on Management of Data","Reinhard Braumandl, Alfons Kemper, Donald Kossmann"
"0","DOMINO: databases fOr MovINg Objects tracking","International Conference on Management of Data","Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain"
"0","The need for distributed asynchronous transactions","International Conference on Management of Data","Lyman Do, Prabhu Ram, Pamela Drew"
"0","Versions and workspaces in Microsoft repository","International Conference on Management of Data","Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt"
"0","Data integration and warehousing in Telecom Italia","International Conference on Management of Data","Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi"
"0","Improving OLTP data quality using data warehouse mechanisms","International Conference on Management of Data","Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl"
"0","SERF: ODMG-based generic re-structuring facility","International Conference on Management of Data","E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner"
"0","PowerBookmarks: a system for personalizable Web information organization, sharing, and management","International Conference on Management of Data","Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito"
"0","The Aqua approximate query answering system","International Conference on Management of Data","Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy"
"0","TAM: a system for dynamic transactional activity management","International Conference on Management of Data","Tong Zhou, Ling Liu, Calton Pu"
"0","Exploratory mining via constrained frequent set queries","International Conference on Management of Data","Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah"
"0","Evolvable view environment (EVE): non-equivalent view maintenance under schema changes","International Conference on Management of Data","E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee"
"0","Phoenix: making applications robust","International Conference on Management of Data","Roger Barga, David B. Lomet"
"0","Nodose version 2.0","International Conference on Management of Data","Brad Adelberg, Matthew Denny"
"0","Bringing object-relational technology to the mainstream","International Conference on Management of Data","Vishu Krishnamurthy, Sandeepan Banerjee, Anil Nori"
"0","Implementing the spirit of SQL-99","International Conference on Management of Data","Paul Brown"
"0","Managing Web data","International Conference on Management of Data","Dan Suciu"
"0","O-O, what's happening to DB2?","International Conference on Management of Data","M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman"
"0","Hypertext databases and data mining","International Conference on Management of Data","Soumen Chakrabarti"
"0","Clustering methods for large databases: from the past to the future","International Conference on Management of Data","Alexander Hinneburg, Daniel A. Keim"
"0","Petabyte databases","International Conference on Management of Data","Dirk D&#252;llmann"
"0","A database perspective on Lotus Domino/Notes","International Conference on Management of Data","C. Mohan"
"0","Microsoft site server (commerce ed.): Talk-slides available at the conference","International Conference on Management of Data","Bassel Ojjeh"
"0","E-commerce database issues and experience: (talk-slides available at at the conference)","International Conference on Management of Data","Anand Rajaraman"
"0","Merge replication in Microsoft's SQL server 7.0","International Conference on Management of Data","Brad Hammond"
