"authors","year","title","venue"
"0","1999","Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making","SIGMOD Record"
"0","1996","Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing","VLDB"
"0","2002","Incremental Maintenance for Non-Distributive Aggregate Functions","VLDB"
"0","1996","Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases","VLDB"
"0","1995","Benchmarking Spatial Join Operations with Spatial Output","VLDB"
"0","1999","Efficient Geometry-based Similarity Search of 3D Spatial Databases","SIGMOD Conference"
"0","2002","Mining the World Wide Web: An Information Search Approach - Book Review","SIGMOD Record"
"0","1998","Enhanced Abstract Data Types in Object-Relational Databases","VLDB J."
"0","1997","Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice)","SIGMOD Record"
"0","1996","UniSQL's Next-Generation Object-Relational Database Management System","SIGMOD Record"
"0","1994","Dual-Buffering Strategies in Object Bases","VLDB"
"0","2003","Aurora: A Data Stream Management System","SIGMOD Conference"
"0","1996","Priority Assignment in Real-Time Active Databases","VLDB J."
"0","2000","WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases","VLDB J."
"0","2001","Approximate query mapping: Accounting for translation closeness","VLDB J."
"0","1996","SPRINT: A Scalable Parallel Classifier for Data Mining","VLDB"
"0","2001","Snowball: A Prototype System for Extracting Relations from Large Text Collections","SIGMOD Conference"
"0","1997","A Framework for Implementing Hypothetical Queries","SIGMOD Conference"
"0","1997","Parametric Query Optimization","VLDB J."
"0","2001","Lineage Tracing for General Data Warehouse Transformations","VLDB"
"0","2002","Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001)","SIGMOD Record"
"0","2000","Approximating Aggregate Queries about Web Pages via Random Walks","VLDB"
"0","1997","A Query Language for a Web-Site Management System","SIGMOD Record"
"0","1996","Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control","VLDB"
"0","1998","Free Parallel Data Mining","SIGMOD Conference"
"0","1999","High Level Indexing of User-Defined Types","VLDB"
"0","1994","PC Database Systems - Present and Future","VLDB"
"0","2001","Form-Based Proxy Caching for Database-Backed Web Sites","VLDB"
"0","1998","A Logical View of Structured Files","VLDB J."
"0","2003","DBGlobe: a service-oriented P2P system for global computing","SIGMOD Record"
"0","1999","Database Patchwork on the Internet","SIGMOD Conference"
"0","1994","Scientific Databases - State of the Art and Future Directions","VLDB"
"0","1997","A Generic Approach to Bulk Loading Multidimensional Index Structures","VLDB"
