"authors","year","title","venue"
"0","1999","Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making","SIGMOD Record"
"0","1996","Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing","VLDB"
"0","2002","Incremental Maintenance for Non-Distributive Aggregate Functions","VLDB"
"0","1996","Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases","VLDB"
"0","1995","Benchmarking Spatial Join Operations with Spatial Output","VLDB"
"0","1999","Efficient Geometry-based Similarity Search of 3D Spatial Databases","SIGMOD Conference"
"0","2002","Mining the World Wide Web: An Information Search Approach - Book Review","SIGMOD Record"
"0","1998","Enhanced Abstract Data Types in Object-Relational Databases","VLDB J."
"0","1997","Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice)","SIGMOD Record"
"0","1996","UniSQL's Next-Generation Object-Relational Database Management System","SIGMOD Record"
"0","1994","Database Research at NTHU and ITRI","SIGMOD Record"
"0","2003","A simple algorithm for finding frequent elements in streams and bags","ACM Trans. Database Syst."
"0","2003","SASH: A Self-Adaptive Histogram Set for Dynamically Changing Workloads","VLDB"
"0","2002","Locally adaptive dimensionality reduction for indexing large time series databases","ACM Trans. Database Syst."
"0","2001","Chair's Message","SIGMOD Record"
"0","2001","Indexing and Querying XML Data for Regular Path Expressions","VLDB"
